,Area_Name,Date,Date.1,Year,Month,Employment,Unemployment,Unemployment_Rate
5783,San Rafael MD,May,2020-05-01,2020,May,114200,13400,0.105
5784,San Rafael MD,June,2020-06-01,2020,June,119500,13400,0.101
5785,San Rafael MD,July,2020-07-01,2020,July,121800,12000,0.09
5786,San Rafael MD,August,2020-08-01,2020,August,123800,9000,0.068
5787,San Rafael MD,September,2020-09-01,2020,September,124700,8600,0.065
5788,San Rafael city,March,2020-03-01,2020,March,31000,900,0.029
5789,San Rafael city,April,2020-04-01,2020,April,26400,3400,0.115
5790,San Rafael city,May,2020-05-01,2020,May,26600,3200,0.106
5791,San Rafael city,June,2020-06-01,2020,June,27800,3200,0.103
5792,San Rafael city,July,2020-07-01,2020,July,28300,2900,0.093
5793,San Rafael city,August,2020-08-01,2020,August,28800,2100,0.069
5794,San Rafael city,September,2020-09-01,2020,September,29000,2100,0.066
5795,"San Rafael, CA Met Div",March,2020-03-01,2020,March,134553,4129,0.03
5796,"San Rafael, CA Met Div",April,2020-04-01,2020,April,114833,14676,0.113
5797,"San Rafael, CA Met Div",May,2020-05-01,2020,May,114692,13851,0.108
5798,"San Rafael, CA Met Div",June,2020-06-01,2020,June,119963,13176,0.099
5799,"San Rafael, CA Met Div",July,2020-07-01,2020,July,121171,11504,0.087
5800,"San Rafael, CA Met Div",August,2020-08-01,2020,August,122692,8928,0.068
5801,San Ramon city,March,2020-03-01,2020,March,37900,1300,0.033
5802,San Ramon city,April,2020-04-01,2020,April,32600,3900,0.108
5803,San Ramon city,May,2020-05-01,2020,May,32700,4000,0.109
5804,San Ramon city,June,2020-06-01,2020,June,33700,4100,0.108
5805,San Ramon city,July,2020-07-01,2020,July,34000,3600,0.096
5806,San Ramon city,August,2020-08-01,2020,August,34300,2600,0.07
5807,San Ramon city,September,2020-09-01,2020,September,34600,2500,0.068
5808,Sand City city,March,2020-03-01,2020,March,200,0,0.08
5809,Sand City city,April,2020-04-01,2020,April,100,0,0.14400000000000002
5810,Sand City city,May,2020-05-01,2020,May,100,0,0.113
5811,Sand City city,June,2020-06-01,2020,June,200,0,0.099
5812,Sand City city,July,2020-07-01,2020,July,200,0,0.08199999999999999
5813,Sand City city,August,2020-08-01,2020,August,200,0,0.06
5814,Sand City city,September,2020-09-01,2020,September,200,0,0.06
5815,Sanger city,March,2020-03-01,2020,March,10400,1400,0.117
5816,Sanger city,April,2020-04-01,2020,April,9600,2000,0.171
5817,Sanger city,May,2020-05-01,2020,May,9600,1800,0.159
5818,Sanger city,June,2020-06-01,2020,June,9800,1800,0.154
5819,Sanger city,July,2020-07-01,2020,July,9900,1600,0.14
5820,Sanger city,August,2020-08-01,2020,August,10100,1200,0.106
5821,Sanger city,September,2020-09-01,2020,September,10100,1200,0.103
5822,Santa Ana city,March,2020-03-01,2020,March,149000,5800,0.038
5823,Santa Ana city,April,2020-04-01,2020,April,129400,21200,0.141
5824,Santa Ana city,May,2020-05-01,2020,May,128700,22500,0.149
5825,Santa Ana city,June,2020-06-01,2020,June,134200,21400,0.13699999999999998
5826,Santa Ana city,July,2020-07-01,2020,July,135800,19500,0.126
5827,Santa Ana city,August,2020-08-01,2020,August,136700,14800,0.098
5828,Santa Ana city,September,2020-09-01,2020,September,139300,14400,0.094
5829,Santa Barbara County,March,2020-03-01,2020,March,201800,12300,0.057
5830,Santa Barbara County,April,2020-04-01,2020,April,182800,29500,0.139
5831,Santa Barbara County,May,2020-05-01,2020,May,182600,27100,0.129
5832,Santa Barbara County,June,2020-06-01,2020,June,188900,24700,0.115
5833,Santa Barbara County,July,2020-07-01,2020,July,189200,21700,0.103
5834,Santa Barbara County,August,2020-08-01,2020,August,193900,16000,0.076
5835,Santa Barbara County,September,2020-09-01,2020,September,196100,15600,0.07400000000000001
5836,Santa Barbara city,March,2020-03-01,2020,March,47500,1400,0.029
5837,Santa Barbara city,April,2020-04-01,2020,April,43000,6200,0.126
5838,Santa Barbara city,May,2020-05-01,2020,May,42900,6100,0.124
5839,Santa Barbara city,June,2020-06-01,2020,June,44400,5800,0.115
5840,Santa Barbara city,July,2020-07-01,2020,July,44500,5100,0.103
5841,Santa Barbara city,August,2020-08-01,2020,August,45600,3700,0.076
5842,Santa Barbara city,September,2020-09-01,2020,September,46100,3600,0.07200000000000001
5843,Santa Clara County,March,2020-03-01,2020,March,1007600,35200,0.034
5844,Santa Clara County,April,2020-04-01,2020,April,898300,119400,0.117
5845,Santa Clara County,May,2020-05-01,2020,May,898300,113400,0.112
5846,Santa Clara County,June,2020-06-01,2020,June,926700,110700,0.107
5847,Santa Clara County,July,2020-07-01,2020,July,937900,97600,0.094
5848,Santa Clara County,August,2020-08-01,2020,August,946900,73700,0.07200000000000001
5849,Santa Clara County,September,2020-09-01,2020,September,951700,72100,0.07
5850,Santa Clara city,March,2020-03-01,2020,March,68900,2200,0.031
5851,Santa Clara city,April,2020-04-01,2020,April,61400,6400,0.095
