county,Date,Date,Confirmed Covid Patients,Suspected Covid Patinets,Confirmed Covid ICU Patients,ICU suspected COVID Patients,ICU Beds Available
Plumas,May,2020-05-31,0.0,2.0,0.0,0.0,
Plumas,October,2020-10-16,0.0,0.0,0.0,0.0,0.0
Plumas,September,2020-09-30,0.0,0.0,0.0,0.0,0.0
Riverside,April,2020-04-30,250.0,207.0,85.0,65.0,235.0
Riverside,August,2020-08-31,450.0,123.0,139.0,21.0,123.0
Riverside,July,2020-07-31,550.0,179.0,167.0,28.0,186.0
Riverside,June,2020-06-30,419.0,145.0,117.0,27.0,148.0
Riverside,March,2020-03-31,80.0,155.0,28.0,59.0,77.0
Riverside,May,2020-05-31,217.0,152.0,84.0,39.0,217.0
Riverside,October,2020-10-16,149.0,83.0,45.0,16.0,131.0
Riverside,September,2020-09-30,207.0,76.0,69.0,19.0,122.0
Sacramento,April,2020-04-30,77.0,138.0,33.0,33.0,184.0
Sacramento,August,2020-08-31,274.0,74.0,91.0,13.0,121.0
Sacramento,July,2020-07-31,281.0,70.0,91.0,22.0,106.0
Sacramento,June,2020-06-30,106.0,37.0,29.0,10.0,184.0
Sacramento,March,2020-03-31,53.0,110.0,21.0,31.0,66.0
Sacramento,May,2020-05-31,35.0,100.0,16.0,29.0,131.0
Sacramento,October,2020-10-16,108.0,56.0,32.0,10.0,109.0
Sacramento,September,2020-09-30,193.0,47.0,70.0,10.0,123.0
San Benito,April,2020-04-30,3.0,3.0,2.0,0.0,4.0
San Benito,August,2020-08-31,10.0,1.0,2.0,0.0,3.0
San Benito,July,2020-07-31,7.0,1.0,2.0,1.0,3.0
San Benito,June,2020-06-30,1.0,0.0,0.0,0.0,3.0
San Benito,March,2020-03-31,1.0,1.0,1.0,0.0,1.0
San Benito,May,2020-05-31,1.0,0.0,1.0,0.0,3.0
San Benito,October,2020-10-16,1.0,0.0,1.0,0.0,4.0
San Benito,September,2020-09-30,4.0,0.0,2.0,0.0,4.0
San Bernardino,April,2020-04-30,167.0,301.0,66.0,66.0,277.0
San Bernardino,August,2020-08-31,575.0,96.0,193.0,18.0,184.0
San Bernardino,July,2020-07-31,638.0,118.0,197.0,19.0,210.0
San Bernardino,June,2020-06-30,406.0,130.0,142.0,22.0,189.0
San Bernardino,March,2020-03-31,82.0,231.0,33.0,48.0,66.0
San Bernardino,May,2020-05-31,167.0,125.0,59.0,23.0,245.0
San Bernardino,October,2020-10-16,209.0,59.0,52.0,15.0,180.0
San Bernardino,September,2020-09-30,283.0,72.0,100.0,13.0,186.0
San Diego,April,2020-04-30,283.0,343.0,122.0,35.0,427.0
San Diego,August,2020-08-31,312.0,93.0,113.0,23.0,346.0
San Diego,July,2020-07-31,411.0,110.0,159.0,24.0,376.0
San Diego,June,2020-06-30,395.0,98.0,160.0,26.0,357.0
San Diego,March,2020-03-31,158.0,446.0,77.0,39.0,228.0
San Diego,May,2020-05-31,339.0,92.0,145.0,21.0,385.0
San Diego,October,2020-10-16,217.0,66.0,77.0,16.0,348.0
San Diego,September,2020-09-30,234.0,76.0,88.0,19.0,338.0
San Francisco,April,2020-04-30,92.0,116.0,39.0,17.0,149.0
San Francisco,August,2020-08-31,106.0,38.0,41.0,7.0,123.0
San Francisco,July,2020-07-31,109.0,25.0,39.0,6.0,126.0
San Francisco,June,2020-06-30,68.0,34.0,28.0,8.0,155.0
San Francisco,March,2020-03-31,67.0,92.0,30.0,14.0,90.0
San Francisco,May,2020-05-31,86.0,47.0,32.0,14.0,118.0
San Francisco,October,2020-10-16,59.0,11.0,17.0,5.0,92.0
San Francisco,September,2020-09-30,78.0,22.0,26.0,8.0,88.0
San Joaquin,April,2020-04-30,46.0,42.0,20.0,11.0,38.0
San Joaquin,August,2020-08-31,222.0,67.0,77.0,23.0,76.0
San Joaquin,July,2020-07-31,246.0,74.0,79.0,14.0,54.0
San Joaquin,June,2020-06-30,140.0,56.0,37.0,8.0,61.0
San Joaquin,March,2020-03-31,44.0,54.0,14.0,5.0,53.0
San Joaquin,May,2020-05-31,19.0,34.0,9.0,13.0,34.0
San Joaquin,October,2020-10-16,39.0,19.0,14.0,5.0,57.0
San Joaquin,September,2020-09-30,103.0,22.0,32.0,5.0,53.0
San Luis Obispo,April,2020-04-30,8.0,15.0,5.0,11.0,968.0
San Luis Obispo,August,2020-08-31,22.0,6.0,7.0,2.0,25.0
San Luis Obispo,July,2020-07-31,18.0,7.0,6.0,2.0,44.0
San Luis Obispo,June,2020-06-30,9.0,10.0,4.0,5.0,73.0
San Luis Obispo,March,2020-03-31,7.0,15.0,3.0,6.0,957.0
San Luis Obispo,May,2020-05-31,4.0,10.0,3.0,4.0,31.0
San Luis Obispo,October,2020-10-16,5.0,4.0,1.0,0.0,30.0
San Luis Obispo,September,2020-09-30,13.0,5.0,6.0,1.0,31.0
San Mateo,April,2020-04-30,69.0,40.0,26.0,11.0,62.0
San Mateo,August,2020-08-31,61.0,19.0,21.0,5.0,35.0
San Mateo,July,2020-07-31,72.0,26.0,22.0,5.0,72.0
San Mateo,June,2020-06-30,43.0,23.0,18.0,6.0,63.0
San Mateo,March,2020-03-31,60.0,40.0,18.0,11.0,47.0
San Mateo,May,2020-05-31,48.0,37.0,26.0,6.0,54.0
San Mateo,October,2020-10-16,29.0,13.0,10.0,3.0,40.0
San Mateo,September,2020-09-30,47.0,29.0,15.0,7.0,39.0
Santa Barbara,April,2020-04-30,42.0,44.0,23.0,10.0,90.0
Santa Barbara,August,2020-08-31,88.0,14.0,31.0,5.0,75.0
Santa Barbara,July,2020-07-31,89.0,14.0,29.0,3.0,73.0
Santa Barbara,June,2020-06-30,66.0,10.0,24.0,3.0,84.0
Santa Barbara,March,2020-03-31,19.0,29.0,14.0,7.0,48.0
Santa Barbara,May,2020-05-31,32.0,12.0,15.0,4.0,99.0
Santa Barbara,October,2020-10-16,24.0,5.0,8.0,2.0,64.0
Santa Barbara,September,2020-09-30,44.0,8.0,18.0,3.0,67.0
Santa Clara,April,2020-04-30,187.0,101.0,79.0,19.0,206.0
Santa Clara,August,2020-08-31,187.0,36.0,57.0,6.0,123.0
Santa Clara,July,2020-07-31,196.0,56.0,61.0,7.0,198.0
Santa Clara,June,2020-06-30,87.0,38.0,33.0,7.0,239.0
Santa Clara,March,2020-03-31,155.0,98.0,74.0,23.0,103.0
Santa Clara,May,2020-05-31,97.0,60.0,40.0,12.0,220.0
Santa Clara,October,2020-10-16,89.0,30.0,34.0,6.0,124.0
