,Area_Name,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
318,Dos Palos city,01/01/2020,2020,January,2000,200,0.07400000000000001
319,Downey city,01/01/2020,2020,January,55900,2400,0.042
320,Duarte city,01/01/2020,2020,January,10600,600,0.054000000000000006
321,Dublin city,01/01/2020,2020,January,31600,800,0.024
322,Ducor CDP,01/01/2020,2020,January,200,0,0.1
323,Dunsmuir city,01/01/2020,2020,January,600,30,0.051
324,Durham CDP,01/01/2020,2020,January,2700,100,0.026000000000000002
325,Dustin Acres CDP,01/01/2020,2020,January,200,0,0.039
326,Earlimart CDP,01/01/2020,2020,January,3300,700,0.166
327,East Foothills CDP,01/01/2020,2020,January,3600,100,0.016
328,East Hemet CDP,01/01/2020,2020,January,7800,600,0.066
329,East Los Angeles CDP,01/01/2020,2020,January,52600,4200,0.07400000000000001
330,East Oakdale CDP,01/01/2020,2020,January,1500,100,0.055999999999999994
331,Easton CDP,01/01/2020,2020,January,1000,100,0.085
332,East Orosi CDP,01/01/2020,2020,January,300,100,0.32299999999999995
333,East Palo Alto city,01/01/2020,2020,January,14800,400,0.027999999999999997
334,East Pasadena CDP,01/01/2020,2020,January,3100,100,0.018000000000000002
335,East Porterville CDP,01/01/2020,2020,January,2000,700,0.25
336,East Quincy CDP,01/01/2020,2020,January,1120,20,0.015
337,East Richmond Heights CDP,01/01/2020,2020,January,1900,0,0.015
338,East San Gabriel CDP,01/01/2020,2020,January,7600,100,0.017
339,East Shore CDP,01/01/2020,2020,January,40,110,0.752
340,East Sonora CDP,01/01/2020,2020,January,940,0,0.0
341,Eastvale City city,01/01/2020,2020,January,31900,1000,0.03
342,Edwards AFB CDP,01/01/2020,2020,January,400,0,0.09699999999999999
343,El Cajon city,01/01/2020,2020,January,43500,1700,0.039
344,El Centro city,01/01/2020,2020,January,16200,2400,0.13
345,El Cerrito city,01/01/2020,2020,January,13500,300,0.025
346,El Cerrito CDP,01/01/2020,2020,January,2300,100,0.026000000000000002
347,El Dorado Hills CDP,01/01/2020,2020,January,21900,700,0.03
348,El Granada CDP,01/01/2020,2020,January,3500,100,0.02
349,Elk Grove CDP,01/01/2020,2020,January,80600,2700,0.032
350,Elkhorn CDP,01/01/2020,2020,January,600,100,0.145
351,Elmira CDP,01/01/2020,2020,January,100,0,0.035
352,El Monte city,01/01/2020,2020,January,50300,2300,0.044000000000000004
353,El Paso de Robles (Paso Robles) city,01/01/2020,2020,January,15900,500,0.028999999999999998
354,El Rio CDP,01/01/2020,2020,January,2700,200,0.069
355,El Segundo city,01/01/2020,2020,January,9200,500,0.052000000000000005
356,El Sobrante CDP,01/01/2020,2020,January,7200,300,0.04
357,El Verano CDP,01/01/2020,2020,January,1800,0,0.013000000000000001
358,Emeryville city,01/01/2020,2020,January,7300,200,0.022000000000000002
359,Empire CDP,01/01/2020,2020,January,1500,100,0.045
360,Encinitas city,01/01/2020,2020,January,32500,900,0.026000000000000002
361,Escalon city,01/01/2020,2020,January,3600,100,0.036000000000000004
