Area_Name,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
Huntington Park city,01/01/2020,2020,January,25800,1100,0.043
Huron city,01/01/2020,2020,January,2300,300,0.119
Hydesville CDP,01/01/2020,2020,January,500,0,0.004
Idyllwild Pine Cove CDP,01/01/2020,2020,January,1300,0,0.025
Imperial city,01/01/2020,2020,January,6900,1300,0.157
Imperial Beach city,01/01/2020,2020,January,11500,500,0.041
Independence CDP,01/01/2020,2020,January,220,10,0.023
Indian Falls CDP,01/01/2020,2020,January,0,0,0
Indian Wells city,01/01/2020,2020,January,1800,100,0.035
Indio city,01/01/2020,2020,January,39000,2000,0.049
