county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Fresno,4/20/20,305,250,28,28,
Glenn,4/20/20,,,,,
Humboldt,4/20/20,44,11,15,,
Imperial,4/20/20,36,,,,
Inyo,4/20/20,,,,,
Kern,4/20/20,,,15,15,
Kings,4/20/20,,,,,
Lake,4/20/20,,,,,
Lassen,4/20/20,,,,,
Los Angeles,4/20/20,3172,888,658,647,
Madera,4/20/20,,,,,
Marin,4/20/20,112,73,44,,
Mariposa,4/20/20,44,13,,,
Mendocino,4/20/20,134,95,,,
Merced,4/20/20,,,,,
Mono,4/20/20,48,,,,
Modoc,4/20/20,,,,,
Monterey,4/20/20,,,108,15,
Napa,4/20/20,104,48,18,,
Nevada,4/20/20,27,,,,
Orange,4/20/20,276,31,78,78,
Placer,4/20/20,15,15,,,
Plumas,4/20/20,,,,,
Riverside,4/20/20,422,303,15,15,
Sacramento,4/20/20,316,63,63,63,
San Benito,4/20/20,67,41,,,
San Bernardino,4/20/20,50,37,20,,20
San Diego,4/20/20,2029,409,45,44,
San Francisco,4/20/20,1273,718,,,
San Joaquin,4/20/20,,,,,
San Luis Obispo,4/20/20,154,,14,14,
San Mateo,4/20/20,94,64,,,
Santa Barbara,4/20/20,85,,,,
Santa Clara,4/20/20,453,234,105,105,
Santa Cruz,4/20/20,27,20,35,,
Shasta,4/20/20,20,,,,
Sierra,4/20/20,,,,,
Siskiyou,4/20/20,,,,,
Solano,4/20/20,,,,,
Sonoma,4/20/20,45,45,,,
Stanislaus,4/20/20,121,,,,
Sutter,4/20/20,16,16,,,
Tehama,4/20/20,,,,,
Trinity,4/20/20,,,,,
Tulare,4/20/20,56,,,,
Tuolumne,4/20/20,,,,,
Ventura,4/20/20,398,275,,,
Yolo,4/20/20,246,206,,,
Yuba,4/20/20,35,18,,,
Alameda,4/21/20,403,346,91,91,
Alpine ,4/21/20,,,,,
Amador,4/21/20,,,,,
Butte,4/21/20,82,82,,,
Calaveras,4/21/20,20,20,,,
Colusa,4/21/20,,,,,
Contra Costa,4/21/20,340,,,,
Del Norte,4/21/20,,,,,
El Dorado,4/21/20,,,,,
Fresno,4/21/20,305,250,28,28,
Glenn ,4/21/20,,,,,
Humboldt,4/21/20,44,11,15,,
Imperial,4/21/20,36,,37,,
Inyo,4/21/20,,,,,
Kern,4/21/20,,,15,15,
Kings,4/21/20,,,,,
Lake ,4/21/20,,,,,
Lassen,4/21/20,,,,,
Los Angeles,4/21/20,3292,939,658,647,
Madera,4/21/20,,,,,
Marin ,4/21/20,112,73,44,,
Mariposa,4/21/20,44,13,,,
Mendocino,4/21/20,140,101,,,
Merced,4/21/20,,,,,
Modoc,4/21/20,,,,,
Mono ,4/21/20,48,,,,
Monterey,4/21/20,,,108,15,
Napa,4/21/20,104,48,18,,
Nevada,4/21/20,27,,,,
Orange,4/21/20,276,31,78,78,
Placer,4/21/20,32,32,12,,
Plumas,4/21/20,,,,,
Riverside,4/21/20,422,303,15,15,
Sacramento,4/21/20,316,63,63,63,
San Benito,4/21/20,67,41,,,
San Bernardino,4/21/20,50,37,20,,20
San Diego,4/21/20,2029,409,44,44,
San Francisco,4/21/20,1273,737,,,
San Joaquin,4/21/20,,,,,
San Luis Obispo,4/21/20,154,,14,14,
San Mateo,4/21/20,94,64,,,
Santa Barbara,4/21/20,85,,,,
Santa Clara,4/21/20,575,226,105,105,
Santa Cruz,4/21/20,27,20,35,,
Shasta ,4/21/20,20,,,,
Sierra,4/21/20,,,,,
Siskiyou,4/21/20,,,,,
Solano ,4/21/20,,,,,
Sonoma,4/21/20,45,45,,,
Stanislaus,4/21/20,121,,,,
Sutter,4/21/20,16,16,,,
Tehama,4/21/20,,,,,
Trinity,4/21/20,,,,,
Tulare,4/21/20,56,,,,
Tuolumne,4/21/20,,,,,
Ventura,4/21/20,398,275,,,
Yolo,4/21/20,246,206,,,
Yuba,4/21/20,35,18,,,
Alameda,4/22/20,403,346,91,91,
Alpine,4/22/20,,,,,
Amador,4/22/20,,,,,
Butte,4/22/20,82,82,,,
Calaveras,4/22/20,20,20,,,
Colusa,4/22/20,,,,,
Contra Costa,4/22/20,340,,,,
Del Norte,4/22/20,,,,,
El Dorado,4/22/20,,,,,
Fresno,4/22/20,305,250,28,28,
Glenn,4/22/20,,,,,
Humboldt,4/22/20,44,11,15,,
Imperial,4/22/20,36,,37,,
Inyo,4/22/20,,,,,
Kern,4/22/20,,,15,15,
Kings,4/22/20,,,,,
Lake,4/22/20,,,,,
Lassen,4/22/20,,,,,
Los Angeles,4/22/20,3292,1054,658,647,
Madera,4/22/20,,,,,
Marin,4/22/20,132,80,44,,
Mariposa,4/22/20,44,12,,,
Mendocino,4/22/20,143,104,,,
Merced,4/22/20,,,,,
Modoc,4/22/20,,,,,
Mono,4/22/20,48,,,,
Monterey,4/22/20,142,,108,15,
Napa,4/22/20,104,48,18,,
Nevada,4/22/20,27,,,,
Orange,4/22/20,276,31,78,78,
Placer,4/22/20,32,32,12,,
Plumas,4/22/20,,,,,
Riverside,4/22/20,422,303,15,15,
